Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,1000,2653,2702,3539,3555,3645,0,3649,1.900%,183.21730,174.21,42.13
总体,1000,2653,2702,3539,3555,3645,0,3649,1.900%,183.21730,174.21,42.13
